firstName,lastName,address,city,telephone
Felix,Ziegert,Poschring 1 1917 Kapfenberg,Heinsberg,4298776283
Nathan,Grabner,Zeinerring 4 4673 Wolfsberg,Villach,3611168318
Ylvie,Kahler,Pointnerring 3 5207 Trofaiach,Ferlach,5562292900
Kathe,Mahle,Rayana-Schweitzer-Gasse 115 1111 Neusiedl am See,Recklinghausen,9719456360
Boris,Gabriel,Peterring 66 7977 Stadtschlaining,Judenburg,9357005248
Stefan,Juncken,Kramerstraße 00 78532 Ansbach,Ueckermünde,6093821077
Natan,Scheibe,Karl-Nerger-Allee 6 70711 Finsterwalde,Oschatz,1366424099
Pia,Jenewein,Kranzallee 17 16456 Günzburg,Husum,9552728771
Lissy,Gude,Rosnerstraße 7/9 1802 Gleisdorf,Rust,719213220
Caroline,Kruschwitz,Steurerstraße 221 5094 Rattenberg,Tuttlingen,2708188380
Hugo,Wilmsen,Hofmanngasse 344 70856 Tirschenreuth,Naila,4243166664
Ismail,Schrenk,Weißweg 2/0 8019 Hainfeld,Traismauer,5397575174
Rana,Gamsjager,Ertlweg 1 9054 Hall in Tirol,Oberndorf bei Salzburg,9258428777
Marta,Scholz,Claire-Pieper-Gasse 1/0 35455 Calau,Viechtach,294176103
Matheo,Jank,Käte-Kruschwitz-Straße 140 37711 Stade,Schwerin,6484196795
Magdalene,Gartner,Peukertgasse 5/5 76047 Schwarzenberg,Berchtesgaden,2749858698
Andrea,Wahrer,Plattnergasse 74 9641 Ried im Innkreis,Kindberg,7609556667
Sigmar,Reisner,Köllplatz 51 6057 Korneuburg,Miesbach,5677129277
Liam,Ruppersberger,Emilian-Dorn-Straße 40 8886 Groß-Siegharts,Dieburg,7046061859
Julius,Fleck,Michael-Kronsteiner-Ring 92 4944 Gföhl,Langenlois,1885321020
Angelika,Loidl,Rudi-Karz-Gasse 68 58836 Magdeburg,Attnang-Puchheim,3998775158
Alfredo,Junk,Junkengasse 97 21338 Uffenheim,Mürzzuschlag,5352672743
Victor,Klemt,Nina-Albrecht-Platz 8 8522 Bad Radkersburg,Trofaiach,568689485
Nele,Franke,Grünergasse 9 9158 Bleiburg,Geithain,9095926437
Oliver,Stoll,Mona-Leibetseder-Platz 0/3 9652 Schärding,Amberg,4278072846
James,Krall,Ernst-Dieter-Kreusel-Gasse 901 90358 Einbeck,Freistadt,2901149368
Catharina,Stiffel,Stadlerweg 6/2 6699 Gallneukirchen,Güssing,6458450978
Immo,Amon,Marie-Mühlböck-Platz 12 2652 Grieskirchen,Kusel,2888255511
Margarete,Kramer,Selma-Mandl-Straße 221 9723 Rohrbach in Oberösterreich,Miltenberg,5149124389
Slobodan,Franke,Pölitzallee 544 86915 München,Innsbruck,7148429742
Constanze,Thies,Mittergasse 0/1 4925 Kapfenberg,Herzberg,8930620341
Ines,Sattler,Schuhstraße 20 2997 Saalfelden am Steinernen Meer,Gleisdorf,838539988
MarieaLouise,Mangold,Schindlergasse 94 9518 Klosterneuburg,Kufstein,1433631753
Petros,Saaebier,Gustav-Dittrich-Straße 048 5441 Feldkirch,Raabs an der Thaya,6430886072
Aleksander,Lehmann,Veronika-Huhn-Allee 30 05503 Leipziger Land,Weiz,7426397694
Irmengard,Stackler,Kesslerplatz 698 5212 Köflach,Radenthein,5768698921
Vera,Schwarz,Barthring 096 08859 Belzig,Mettmann,8373155265
Philipp,Trub,Isabella-Frühwirth-Gasse 021 4059 Wörgl,Mainburg,2476448493
Alexandra,Graf,Hellwigring 568 41682 Wolfach,Waidhofen an der Ybbs,8885702697
Melanie,Pertl,Schatzstraße 404 9145 Bleiburg,Mürzzuschlag,6763458303
Leyla,Parzer,Gießstraße 0 90680 Regensburg,Gallneukirchen,7994489459
Aneta,Walser,Johannes-Kirchner-Straße 6 3934 Hainfeld,Fürstenfeldbruck,7414507760
Theresa,Henk,Eberthgasse 5 18990 Eckernförde,Traismauer,2887387117
HeinzaDieter,Reinhardt,Jovan-Losekann-Straße 76 68566 Ilmenau,Helmstedt,2304744556
Tim,Mans,Barbara-Drub-Gasse 4/4 29703 Mittweida,Bad Liebenwerda,3278908651
Andjelina,Cichorius,Siegrun-Putz-Weg 6/9 23793 Deggendorf,Kulmbach,5041562890
Vito,Schachinger,Hollausweg 2/2 5187 Raabs an der Thaya,Pregarten,2542745702
Friedhold,Kreidl,Unterbergerstr. 424 2011 Ternitz,Augsburg,84163882
Andreas,Hermann,Valentina-Rossmann-Ring 3/3 8956 Steyr,Rehau,511600001
Zeki,Kohler,Karl-Georg-Schulz-Straße 031 76330 Pasewalk,Gunzenhausen,8715052535
Finn,Weiser,Barthweg 26 24908 Hamburg,Wieselburg,6094869878
Aenne,Dehmel,Ramona-Mude-Ring 94 92594 Altötting,Rottenmann,5876547024
HansaGerd,Stiebitz,Nöbauerstr. 883 8354 Schwanenstadt,Ansbach,8833303870
Irmi,Schaaf,David-Vollbrecht-Allee 7 10851 Burg,Bad Leonfelden,757514298
Anica,Reitbauer,Steinwenderplatz 62 1027 Braunau am Inn,Kronach,9456835445
Niklas,Harl,Justus-Neubauer-Platz 0/1 8533 Heidenreichstein,Zossen,4189275579
Viktor,Engl,Lina-Keudel-Ring 3 14756 Neuss,Dresden,5132228210
Annalena,Trab,Christin-Heintze-Platz 41 02618 Mühldorf am Inn,Heiligenstadt,1316591532
Erna,Schulz,Adlerweg 6/0 34034 Sigmaringen,Coburg,121480483
Juliane,Thaler,Hartmannplatz 42 98696 Tecklenburg,Gallneukirchen,7136266155
Malena,Malzer,Jungwirthgasse 1/1 9563 Ansfelden,Stuttgart,1631244808
Marius,Ecker,Hatice-Kroker-Allee 1/7 78085 Klötze,Pegnitz,7897753678
Leticia,Zettl,Losekannweg 3/5 81229 Siegen,Neu-Ulm,5623579973
Joanna,Tischler,Oscar-Adolph-Weg 0/5 38191 Spremberg,Heiligenstadt,5527504190
Salma,Gabriel,Sylvana-Kranz-Allee 7/8 30926 Querfurt,Hünfeld,7456006662
Valerie,Schenk,Mohauptstr. 35 99989 Kehl,Straßburg,6025449873
Lily,Nerger,Pechelweg 2/1 25728 Lüdinghausen,Sankt Andrä im Lavanttal,9495416882
Aurelia,Kack,Knappstraße 792 1162 Laa an der Thaya,Sankt Veit an der Glan,6494022359
Isabelle,Albers,Mittererweg 790 3186 Wolkersdorf,Lörrach,864712266
Andjelina,Warmer,Schönlandplatz 3 85063 Lüdenscheid,Zwettl,338218894
Ismail,Seiler,Alexandra-Leutgeb-Straße 007 1980 Straßburg,Feldkirchen,127985506
Sabri,Bergmann,Janko-Jähn-Weg 687 86175 Borken,Mureck,553725607
Fernando,Weia,Wiesingerplatz 4 8551 Geras,Baden,9195883447
Magnus,Fechner,Clemens-Pölitz-Platz 67 52447 Heiligenstadt,Göttingen,1517244058
Karl,Junck,Paffrathgasse 194 17991 Witzenhausen,Dachau,4620982120
Roselinde,Bender,Gertzring 4/4 18963 Neustadtner Waldnaab,Bischofswerda,4985321185
Ludmilla,Zotter,Viola-Mayrhofer-Weg 089 8794 Bad Hall,Lobenstein,9396933232
Sabri,Wagenknecht,Jakob-Kirchmair-Platz 8/6 6101 Bad Vöslau,Lienz,1745169242
Leyla,Stoll,Heinzlweg 31 1282 Mattersburg,Schwabmünchen,1631392382
Jamie,Paul,Zänkerstr. 30 29098 Karlsruhe,Oberwart,3923113798
Tristan,Heser,Heinz-Günther-Römer-Weg 910 68297 Wolfratshausen,Gmunden,3749705379
Angelina,Graner,Kristian-Lübs-Straße 639 32156 Rochlitz,Hersbruck,4626148353
Alexandra,Dietz,Sophie-Marie-Stöckl-Weg 489 9820 Kindberg,Bad Leonfelden,8632319310
Eric,Graf,Wulffgasse 38 51773 Monschau,Stendal,4424974039
Clemens,Bucher,Kirstin-Klemt-Ring 19 05057 Eberswalde,Neulengbach,7593957241
Lotte,Neuwirth,Marcel-Fritsch-Platz 0 97553 Pößneck,Eckernförde,1823045842
Karlheinz,Krainz,Hanny-Finke-Platz 38 62758 Burglengenfeld,Korneuburg,8156352102
Nicolaus,Pfleger,Schottinring 5 72353 Greiz,Waren,8972486842
Pascal,Mosemann,Grubergasse 8/2 3046 Bad Vöslau,Rottenmann,3047258990
Linda,Dietz,Mälzergasse 0/7 44302 Döbeln,Pfaffenhofen an der Ilm,7952929302
Pedro,Drewes,Wagnerstr. 420 3341 Ried im Innkreis,Bad Kreuznach,8724482263
David,Jost,Leyla-Schiestl-Ring 241 8730 Weiz,Hainichen,1711432970
Cornelia,Radisch,Gnatzgasse 990 86070 Lübz,Neunburg vorm Wald,7647230302
Pauline,Achleitner,Lilia-Erber-Weg 2 3135 Trofaiach,Lüdenscheid,9515272824
Arne,Kalcher,Janus-Hande-Weg 0 12630 Fürstenfeldbruck,Lüdenscheid,3356889903
Leonora,Henschel,Gottlieb-Gieß-Straße 618 10786 Meppen,Ternitz,6888072693
Christina,Schleich,Alma-Anders-Ring 79 33660 Moers,Schwaz,9275731157
Wenke,Buchholz,Gerlind-Siering-Platz 93 84007 Pegnitz,Steinfurt,268693655
Nadeshda,Schan,Astrid-Schomber-Ring 0 42123 Wolgast,Jessen,2507763236
HansaPeter,Heinz,Pfistergasse 75 7577 Oberwart,Rothenburg ob der Tauber,6389154023
